course_name,parent_platform,url,type,cost,cost_notes,language,hindi_available,primary_track,secondary_tracks,tier,est_hours,prerequisites,coverage_summary,quality_signal,last_verified_status
R for Data Science 2e,R for Data Science 2e,https://r4ds.hadley.nz/,Free online book,free,free/open source.,English,No,"13. Optional scientific computing (Julia, R)",,Newbie; Adept,80–150 h,None stated,"Explains R for Data Science 2e as a structured learning reference for scientific programming, reproducible analysis and numerical/statistical computing, with examples suitable for self-study.",Modern tidyverse standard text,active/reachable; fetched September 2026
RStudio Education,RStudio Education,https://education.rstudio.com/learn/,Learning hub,free,free resources.,English,No,"13. Optional scientific computing (Julia, R)",,Newbie; Adept,40–120 h,None stated,"Organizes lessons and learning resources for scientific programming, reproducible analysis and numerical/statistical computing; use the linked course or playlist sequence rather than treating the hub as one lesson.",Posit-backed curricula and primers,active/reachable; fetched September 2026
swirl,swirl,https://swirlstats.com/,Interactive R course,free,free/open source.,English,No,"13. Optional scientific computing (Julia, R)",,Newbie; Apprentice,20–50 h,None stated,"Teaches swirl through structured lessons or projects covering scientific programming, reproducible analysis and numerical/statistical computing.",Learn R inside the console,active/reachable; fetched September 2026
Hands-On Programming with R,Hands-On Programming with R,https://rstudio-education.github.io/hopr/,Free online book,free,No fee for learning materials.,English,No,"13. Optional scientific computing (Julia, R)",,Newbie; Apprentice,40–70 h,None stated,"Explains Hands-On Programming with R as a structured learning reference for scientific programming, reproducible analysis and numerical/statistical computing, with examples suitable for self-study.",Posit/RStudio beginner book,active/reachable; fetched September 2026
Advanced R,Advanced R,https://adv-r.hadley.nz/,Free online book,free,free/open source.,English,No,"13. Optional scientific computing (Julia, R)",,Adept; Master,100–180 h,None stated,"Explains Advanced R as a structured learning reference for scientific programming, reproducible analysis and numerical/statistical computing, with examples suitable for self-study.",Deep R internals and metaprogramming,active/reachable; fetched September 2026
The R Inferno,The R Inferno,https://www.burns-stat.com/pages/Tutor/R_inferno.pdf,Free book,free,free PDF.,English,No,"13. Optional scientific computing (Julia, R)",,Adept,20–40 h,None stated,"Explains The R Inferno as a structured learning reference for scientific programming, reproducible analysis and numerical/statistical computing, with examples suitable for self-study.",Memorable guide to common R pitfalls,active/reachable; fetched September 2026
Software Carpentry R for Reproducible Analysis,Software Carpentry R for Reproducible Analysis,https://swcarpentry.github.io/r-novice-gapminder/,Lesson,free,free/open lesson.,English; translations,No,"13. Optional scientific computing (Julia, R)",,Newbie; Apprentice,12–18 h,None stated,"Teaches Software Carpentry R for Reproducible Analysis through structured lessons or projects covering scientific programming, reproducible analysis and numerical/statistical computing.",Carpentries-tested reproducibility pedagogy,active/reachable; fetched September 2026
Project Jupyter Try,Project Jupyter Try,https://jupyter.org/try,Browser notebook,free,No fee for learning materials.,English,No,"13. Optional scientific computing (Julia, R)",,Newbie; Adept,ongoing,None stated,"Explains Project Jupyter Try as a structured learning reference for scientific programming, reproducible analysis and numerical/statistical computing, with examples suitable for self-study.",Zero-install scientific notebook practice,active/reachable; fetched September 2026
Project Euler,Project Euler,https://projecteuler.net/,Math/programming practice,free,No fee for learning materials.,English,No,"13. Optional scientific computing (Julia, R)",,Apprentice; Master,50–300 h,None stated,"Provides guided exercises or challenges centered on Project Euler, building practical competence in scientific programming, reproducible analysis and numerical/statistical computing.",Long-running mathematical programming problems,active/reachable; fetched September 2026
MIT Computational Thinking,MIT Computational Thinking,https://computationalthinking.mit.edu/,Course materials,free,No fee for learning materials.,English,No,"13. Optional scientific computing (Julia, R)",,Apprentice; Adept,80–150 h,None stated,"Teaches MIT Computational Thinking through structured lessons or projects covering scientific programming, reproducible analysis and numerical/statistical computing.",MIT Julia-based computational thinking course,active/reachable; fetched September 2026
NPTEL R Software,NPTEL R Software,https://nptel.ac.in/courses/111104100,Course materials,free,free learning; certificate run may be paid/archived.,English,No,"13. Optional scientific computing (Julia, R)",,Apprentice,40–60 h,None stated,"Teaches NPTEL R Software through structured lessons or projects covering scientific programming, reproducible analysis and numerical/statistical computing.",Specific NPTEL R course; run freshness to check,active/reachable; fetched September 2026
The Carpentries Lessons,The Carpentries Lessons,https://carpentries.org/lessons/,Lesson catalogue,free,free/open lessons.,English; translations vary,No,"13. Optional scientific computing (Julia, R)",,Newbie; Adept,20–100 h,None stated,"Organizes lessons and learning resources for scientific programming, reproducible analysis and numerical/statistical computing; use the linked course or playlist sequence rather than treating the hub as one lesson.",Established reproducible research-computing curriculum,active/reachable; fetched September 2026
Google Technical Writing Courses,Google Technical Writing Courses,https://developers.google.com/tech-writing,Course,free,No fee for learning materials.,English,No,14. Soft & career skills,,Apprentice; Master,10–20 h,None stated,"Teaches Google Technical Writing Courses through structured lessons or projects covering technical communication, portfolios, interviews and workplace effectiveness.",Google-authored developer writing curriculum,active/reachable; fetched September 2026
Write the Docs Guide,Write the Docs Guide,https://www.writethedocs.org/guide/,Community guide,free,free/open source.,English,No,14. Soft & career skills,,Apprentice; Master,20–50 h,None stated,"Explains Write the Docs Guide as a structured learning reference for technical communication, portfolios, interviews and workplace effectiveness, with examples suitable for self-study.",Established documentation community practices,active/reachable; fetched September 2026
Microsoft Writing Style Guide,Microsoft Writing Style Guide,https://learn.microsoft.com/en-us/style-guide/welcome/,Style guide,free,No fee for learning materials.,English,No,14. Soft & career skills,,Apprentice; Master,ongoing,None stated,"Explains Microsoft Writing Style Guide as a structured learning reference for technical communication, portfolios, interviews and workplace effectiveness, with examples suitable for self-study.",Authoritative inclusive technical style,active/reachable; fetched September 2026
GitHub Profile README Guide,GitHub Profile README Guide,https://docs.github.com/en/account-and-profile/setting-up-and-managing-your-github-profile/customizing-your-profile/managing-your-profile-readme,Documentation,free,No fee for learning materials.,English,No,14. Soft & career skills,,Newbie; Adept,2–5 h,None stated,"Explains GitHub Profile README Guide as a structured learning reference for technical communication, portfolios, interviews and workplace effectiveness, with examples suitable for self-study.",Official portfolio profile instructions,active/reachable; fetched September 2026
GitHub Pages,GitHub Pages,https://docs.github.com/en/pages,Documentation/tutorial,eligibility-based,free for eligible public repositories; limits apply.,English,No,14. Soft & career skills,,Apprentice; Adept,10–30 h,None stated,"Explains GitHub Pages as a structured learning reference for technical communication, portfolios, interviews and workplace effectiveness, with examples suitable for self-study.",Official portfolio publishing,active/reachable; fetched September 2026
Open Source Guides,Open Source Guides,https://opensource.guide/,Guides,free,free/open source.,English; translations,No,14. Soft & career skills,,Apprentice; Master,20–40 h,None stated,"Explains Open Source Guides as a structured learning reference for technical communication, portfolios, interviews and workplace effectiveness, with examples suitable for self-study.",GitHub-backed contribution and community guidance,active/reachable; fetched September 2026
First Contributions,First Contributions,https://github.com/firstcontributions/first-contributions,Practice repository,free,free/open source.,Many translations including Hindi may vary,Yes,14. Soft & career skills,,Newbie; Apprentice,2–6 h,None stated,"Provides guided exercises or challenges centered on First Contributions, building practical competence in technical communication, portfolios, interviews and workplace effectiveness.",Low-risk first pull request; large community,active/reachable; fetched September 2026
Missing Semester Beyond the Code,Missing Semester Beyond the Code,https://missing.csail.mit.edu/2026/beyond-code/,Course notes,free,No fee for learning materials.,English,No,14. Soft & career skills,,Apprentice; Adept,3–6 h,None stated,"Teaches Missing Semester Beyond the Code through structured lessons or projects covering technical communication, portfolios, interviews and workplace effectiveness.",MIT 2026 career/professional tooling,active/reachable; fetched September 2026
Pramp by Exponent Practice,Pramp by Exponent Practice,https://www.pramp.com/,Peer interview practice,freemium,freemium: peer practice free; paid services vary.,English,No,14. Soft & career skills,,Apprentice; Adept,20–80 h,None stated,"Provides guided exercises or challenges centered on Pramp by Exponent Practice, building practical competence in technical communication, portfolios, interviews and workplace effectiveness.",Live peer technical interview simulation,active/reachable; fetched September 2026
LeetCode,LeetCode,https://leetcode.com/problemset/,Practice platform,freemium,freemium: many problems free; premium solutions/features.,English,No,14. Soft & career skills,,Apprentice; Master,100–500 h,None stated,"Provides guided exercises or challenges centered on LeetCode, building practical competence in technical communication, portfolios, interviews and workplace effectiveness.",Large interview practice corpus,active/reachable; fetched September 2026
HackerRank Skills,HackerRank Skills,https://www.hackerrank.com/skills-verification,Practice platform,freemium,freemium: practice/tests free; employer products paid.,English,No,14. Soft & career skills,,Apprentice; Adept,40–150 h,None stated,"Provides guided exercises or challenges centered on HackerRank Skills, building practical competence in technical communication, portfolios, interviews and workplace effectiveness.",Timed skill assessment and practice,active/reachable; fetched September 2026
takeUforward Striver A2Z DSA,takeUforward Striver A2Z DSA,https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/,Course/sheet,free,No fee for learning materials.,English/Hinglish,No,14. Soft & career skills,,Apprentice; Adept,200–400 h,None stated,"Teaches takeUforward Striver A2Z DSA through structured lessons or projects covering technical communication, portfolios, interviews and workplace effectiveness.",Popular India-focused interview sequence,active/reachable; fetched September 2026
IndiaBix Aptitude,IndiaBix Aptitude,https://www.indiabix.com/,Practice site,free,free core; ads.,English,No,14. Soft & career skills,,Newbie; Apprentice,40–100 h,None stated,"Provides guided exercises or challenges centered on IndiaBix Aptitude, building practical competence in technical communication, portfolios, interviews and workplace effectiveness.",India placement-test practice; supplement not primary,active/reachable; fetched September 2026
Upwork Freelancer Resources,Upwork Freelancer Resources,https://www.upwork.com/resources/how-to-become-a-freelancer,Guide,free,free guide; platform fees apply if working.,English,No,14. Soft & career skills,,Apprentice; Adept,5–15 h,None stated,"Explains Upwork Freelancer Resources as a structured learning reference for technical communication, portfolios, interviews and workplace effectiveness, with examples suitable for self-study.",Official platform basics; fees/scams/contracts must be taught,active/reachable; fetched September 2026
British Council LearnEnglish,British Council LearnEnglish,https://learnenglish.britishcouncil.org/,Course/practice,free,free core; paid options vary.,English,No,14. Soft & career skills,,Newbie; Adept,100–300 h,None stated,"Provides guided exercises or challenges centered on British Council LearnEnglish, building practical competence in technical communication, portfolios, interviews and workplace effectiveness.",Institutional English listening/writing/workplace practice,active/reachable; fetched September 2026
freeCodeCamp Hindi,freeCodeCamp Hindi,https://www.freecodecamp.org/news/hindi-freecodecamp-youtube-discord/,Video/community,free,No fee for learning materials.,Hindi,Yes,14. Soft & career skills,,Newbie; Adept,ongoing,None stated,"Teaches freeCodeCamp Hindi through structured lessons or projects covering technical communication, portfolios, interviews and workplace effectiveness.",Official Hindi channel/community announcement,active/reachable; fetched September 2026
Apna College,Apna College,https://www.youtube.com/@ApnaCollegeOfficial,Video channel,free,free; paid courses also exist.,Hindi/Hinglish,Yes,14. Soft & career skills,,Newbie; Adept,50–250 h,None stated,"Organizes lessons and learning resources for technical communication, portfolios, interviews and workplace effectiveness; use the linked course or playlist sequence rather than treating the hub as one lesson.",Large Indian coding/placement audience,active/reachable; fetched September 2026
Kunal Kushwaha,Kunal Kushwaha,https://www.youtube.com/@KunalKushwaha,Video channel,free,No fee for learning materials.,Hindi/Hinglish/English,Yes,14. Soft & career skills,,Apprentice; Adept,50–200 h,None stated,"Organizes lessons and learning resources for technical communication, portfolios, interviews and workplace effectiveness; use the linked course or playlist sequence rather than treating the hub as one lesson.",Open-source and career guidance,active/reachable; fetched September 2026
Gate Smashers,Gate Smashers,https://www.youtube.com/@GateSmashers,Video channel,free,No fee for learning materials.,Hindi/Hinglish,Yes,14. Soft & career skills,,Apprentice; Adept,50–250 h,None stated,"Organizes lessons and learning resources for technical communication, portfolios, interviews and workplace effectiveness; use the linked course or playlist sequence rather than treating the hub as one lesson.",Large CS/GATE theory library,active/reachable; fetched September 2026
CS50x: Introduction to Computer Science,Harvard CS50,https://cs50.harvard.edu/x/,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,8. Computer science core,Newbie; Apprentice,100–200 h,None,"Scratch, C, algorithms, memory, Python, SQL, HTML/CSS/JS, Flask.","Harvard OpenCourseWare-style public syllabus, lectures and assignments",active/reachable; fetched September 2026
CS50P: Introduction to Programming with Python,Harvard CS50,https://cs50.harvard.edu/python/,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,70–100 h,None,"functions, conditionals, loops, exceptions, libraries, tests, files, regex, OOP.","Harvard OpenCourseWare-style public syllabus, lectures and assignments",active/reachable; fetched September 2026
CS50W: Web Programming with Python and JavaScript,Harvard CS50,https://cs50.harvard.edu/web/,Course/module,free,No fee for learning materials.,English,No,4. Web development,3. Computational thinking & programming fundamentals,Adept,100–140 h,Python/JavaScript; CS50x recommended,"Django, SQL, JavaScript, UI, testing, scalability, security.","Harvard OpenCourseWare-style public syllabus, lectures and assignments",active/reachable; fetched September 2026
CS50AI: Introduction to AI with Python,Harvard CS50,https://cs50.harvard.edu/ai/,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",8. Computer science core,Adept,80–120 h,CS50x or one year Python,"search, knowledge, uncertainty, optimization, ML, neural nets, NLP.","Harvard OpenCourseWare-style public syllabus, lectures and assignments",active/reachable; fetched September 2026
CS50 SQL: Introduction to Databases with SQL,Harvard CS50,https://cs50.harvard.edu/sql/,Course/module,free,No fee for learning materials.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice,50–80 h,None,"queries, relations, normalization, views, indexes, transactions, security.","Harvard OpenCourseWare-style public syllabus, lectures and assignments",active/reachable; fetched September 2026
CS50 for Business Professionals,Harvard CS50,https://cs50.harvard.edu/business/,Course/module,free,No fee for learning materials.,English,No,14. Soft & career skills,1. Digital literacy & computer basics,Newbie,30–50 h,None,"computational thinking, languages, internet, web, cloud, technology decisions.","Harvard OpenCourseWare-style public syllabus, lectures and assignments",active/reachable; fetched September 2026
CS50 Introduction to Programming with Scratch,Harvard CS50,https://cs50.harvard.edu/scratch/,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Newbie,20–40 h,None,"events, values, conditions, loops, variables, functions, abstraction.","Harvard OpenCourseWare-style public syllabus, lectures and assignments",active/reachable; fetched September 2026
CS50 Introduction to Game Development,Harvard CS50,https://cs50.harvard.edu/games/,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,11. Mobile development,Adept,100–140 h,CS50x or programming experience,"2D/3D game principles, Lua, Unity and C#.","Harvard OpenCourseWare-style public syllabus, lectures and assignments",active/reachable; fetched September 2026
CS50 Mobile App Development with React Native,Harvard CS50,https://cs50.harvard.edu/mobile/,Course/module,free,No fee for learning materials.,English,No,11. Mobile development,4. Web development,Adept,80–120 h,JavaScript and React,"React Native, Expo, Redux, APIs and mobile UI.","Harvard OpenCourseWare-style public syllabus, lectures and assignments",active/reachable; fetched September 2026
CS50 Introduction to Programming with R,Harvard CS50,https://cs50.harvard.edu/r/,Course/module,free,No fee for learning materials.,English,No,"13. Optional scientific computing (Julia, R)","6. Data science, analytics & statistics",Newbie; Apprentice,50–80 h,None,"R syntax, data frames, tidyverse, visualization, statistics.","Harvard OpenCourseWare-style public syllabus, lectures and assignments",active/reachable; fetched September 2026
freeCodeCamp JavaScript Algorithms and Data Structures,freeCodeCamp,https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures-v8/,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Apprentice,300 h,None,"JavaScript fundamentals, ES6, regex, data structures and algorithms.",Official freeCodeCamp certification curriculum with required projects,fetch restricted (robots/JS/IP); official URL retained; manual check advised
freeCodeCamp Front End Development Libraries,freeCodeCamp,https://www.freecodecamp.org/learn/front-end-development-libraries/,Course/module,free,No fee for learning materials.,English,No,4. Web development,3. Computational thinking & programming fundamentals,Apprentice; Adept,300 h,None,"Bootstrap, Sass, React, Redux and projects.",Official freeCodeCamp certification curriculum with required projects,fetch restricted (robots/JS/IP); official URL retained; manual check advised
freeCodeCamp Data Visualization,freeCodeCamp,https://www.freecodecamp.org/learn/data-visualization/,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Adept,300 h,None,"D3, JSON APIs and data visualization projects.",Official freeCodeCamp certification curriculum with required projects,fetch restricted (robots/JS/IP); official URL retained; manual check advised
freeCodeCamp Relational Database,freeCodeCamp,https://www.freecodecamp.org/learn/relational-database/,Course/module,free,No fee for learning materials.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice; Adept,300 h,None,"Bash, PostgreSQL, Git and relational databases.",Official freeCodeCamp certification curriculum with required projects,fetch restricted (robots/JS/IP); official URL retained; manual check advised
freeCodeCamp Back End Development and APIs,freeCodeCamp,https://www.freecodecamp.org/learn/back-end-development-and-apis/,Course/module,free,No fee for learning materials.,English,No,4. Web development,3. Computational thinking & programming fundamentals,Adept,300 h,None,"Node, Express, MongoDB/Mongoose and API projects.",Official freeCodeCamp certification curriculum with required projects,fetch restricted (robots/JS/IP); official URL retained; manual check advised
freeCodeCamp Quality Assurance,freeCodeCamp,https://www.freecodecamp.org/learn/quality-assurance/,Course/module,free,No fee for learning materials.,English,No,4. Web development,3. Computational thinking & programming fundamentals,Adept,300 h,None,"Chai testing, Node/Express, advanced projects.",Official freeCodeCamp certification curriculum with required projects,active/reachable; fetched September 2026
freeCodeCamp Data Analysis with Python,freeCodeCamp,https://www.freecodecamp.org/learn/data-analysis-with-python/,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Apprentice; Adept,300 h,None,"NumPy, pandas, Matplotlib and analysis projects.",Official freeCodeCamp certification curriculum with required projects,active/reachable; fetched September 2026
freeCodeCamp Information Security,freeCodeCamp,https://www.freecodecamp.org/learn/information-security/,Course/module,free,No fee for learning materials.,English,No,10. Cybersecurity,,Adept,300 h,None,"HelmetJS, Python security, penetration-testing projects.",Official freeCodeCamp certification curriculum with required projects,fetch restricted (robots/JS/IP); official URL retained; manual check advised
freeCodeCamp Machine Learning with Python,freeCodeCamp,https://www.freecodecamp.org/learn/machine-learning-with-python/,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,300 h,None,"TensorFlow, neural networks and applied ML projects.",Official freeCodeCamp certification curriculum with required projects,fetch restricted (robots/JS/IP); official URL retained; manual check advised
freeCodeCamp College Algebra with Python,freeCodeCamp,https://www.freecodecamp.org/learn/college-algebra-with-python/,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Newbie; Apprentice,300 h,None,"algebra, functions, graphing and Python.",Official freeCodeCamp certification curriculum with required projects,fetch restricted (robots/JS/IP); official URL retained; manual check advised
freeCodeCamp Foundational C# with Microsoft,freeCodeCamp,https://www.freecodecamp.org/learn/foundational-c-sharp-with-microsoft/,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,35–50 h,None,"C# syntax, logic, arrays, methods, debugging.",Official freeCodeCamp certification curriculum with required projects,active/reachable; fetched September 2026
freeCodeCamp A2 English for Developers,freeCodeCamp,https://www.freecodecamp.org/learn/a2-english-for-developers/,Course/module,free,No fee for learning materials.,English,No,14. Soft & career skills,,Newbie,100–150 h,None,developer-focused English vocabulary and communication.,Official freeCodeCamp certification curriculum with required projects,fetch restricted (robots/JS/IP); official URL retained; manual check advised
freeCodeCamp Certified Full Stack Developer Curriculum,freeCodeCamp,https://www.freecodecamp.org/learn/full-stack-developer/,Course/module,free,No fee for learning materials.,English,No,4. Web development,3. Computational thinking & programming fundamentals,Newbie; Apprentice; Adept,900–1800 h,None,"HTML, CSS, JavaScript, front end, Python, databases and back end.",Official freeCodeCamp certification curriculum with required projects,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Intro to Programming,Kaggle Learn,https://www.kaggle.com/learn/intro-to-programming,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Newbie,5 h,None,Hands-on notebook micro-course: Intro to Programming.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Python,Kaggle Learn,https://www.kaggle.com/learn/python,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Newbie,5 h,None,Hands-on notebook micro-course: Python.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Intro to Machine Learning,Kaggle Learn,https://www.kaggle.com/learn/intro-to-machine-learning,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Apprentice,7 h,None,Hands-on notebook micro-course: Intro to Machine Learning.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Intermediate Machine Learning,Kaggle Learn,https://www.kaggle.com/learn/intermediate-machine-learning,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,7 h,None,Hands-on notebook micro-course: Intermediate Machine Learning.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Pandas,Kaggle Learn,https://www.kaggle.com/learn/pandas,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Apprentice,4 h,None,Hands-on notebook micro-course: Pandas.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Data Visualization,Kaggle Learn,https://www.kaggle.com/learn/data-visualization,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Apprentice,4 h,None,Hands-on notebook micro-course: Data Visualization.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Data Cleaning,Kaggle Learn,https://www.kaggle.com/learn/data-cleaning,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Apprentice,4 h,None,Hands-on notebook micro-course: Data Cleaning.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Feature Engineering,Kaggle Learn,https://www.kaggle.com/learn/feature-engineering,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,5 h,None,Hands-on notebook micro-course: Feature Engineering.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Intro to SQL,Kaggle Learn,https://www.kaggle.com/learn/intro-to-sql,Course/module,free,No fee for learning materials.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Newbie; Apprentice,3 h,None,Hands-on notebook micro-course: Intro to SQL.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Advanced SQL,Kaggle Learn,https://www.kaggle.com/learn/advanced-sql,Course/module,free,No fee for learning materials.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Adept,4 h,None,Hands-on notebook micro-course: Advanced SQL.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Intro to Deep Learning,Kaggle Learn,https://www.kaggle.com/learn/intro-to-deep-learning,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,4 h,None,Hands-on notebook micro-course: Intro to Deep Learning.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Computer Vision,Kaggle Learn,https://www.kaggle.com/learn/computer-vision,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,4 h,None,Hands-on notebook micro-course: Computer Vision.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Time Series,Kaggle Learn,https://www.kaggle.com/learn/time-series,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Adept,5 h,None,Hands-on notebook micro-course: Time Series.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Geospatial Analysis,Kaggle Learn,https://www.kaggle.com/learn/geospatial-analysis,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Adept,4 h,None,Hands-on notebook micro-course: Geospatial Analysis.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Machine Learning Explainability,Kaggle Learn,https://www.kaggle.com/learn/machine-learning-explainability,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,4 h,None,Hands-on notebook micro-course: Machine Learning Explainability.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Intro to AI Ethics,Kaggle Learn,https://www.kaggle.com/learn/intro-to-ai-ethics,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Newbie; Apprentice,4 h,None,Hands-on notebook micro-course: Intro to AI Ethics.,Kaggle Learn exercises and completion certificate,active/reachable; fetched September 2026
Intro to Game AI and Reinforcement Learning,Kaggle Learn,https://www.kaggle.com/learn/intro-to-game-ai,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,4 h,None,Hands-on notebook micro-course: Intro to Game AI and Reinforcement Learning.,Kaggle Learn exercises and completion certificate,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Intro to AI Agents,Kaggle Learn,https://www.kaggle.com/learn/intro-to-ai-agents,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Apprentice,5 h,None,Hands-on notebook micro-course: Intro to AI Agents.,Kaggle Learn exercises and completion certificate,fetch restricted (robots/JS/IP); official URL retained; manual check advised
AI Agents,Kaggle Learn,https://www.kaggle.com/learn/ai-agents,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,5 h,None,Hands-on notebook micro-course: AI Agents.,Kaggle Learn exercises and completion certificate,fetch restricted (robots/JS/IP); official URL retained; manual check advised
6.0001 Introduction to Computer Science and Programming in Python,MIT OpenCourseWare / MIT CSAIL,https://ocw.mit.edu/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,90 h,None,"Python, computation, testing, complexity.","Official MIT public syllabus, lectures and/or assignments",active/reachable; fetched September 2026
6.0002 Introduction to Computational Thinking and Data Science,MIT OpenCourseWare / MIT CSAIL,https://ocw.mit.edu/courses/6-0002-introduction-to-computational-thinking-and-data-science-fall-2016/,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Apprentice,90 h,6.0001,"optimization, stochastic thinking, simulation, data analysis.","Official MIT public syllabus, lectures and/or assignments",active/reachable; fetched September 2026
6.006 Introduction to Algorithms,MIT OpenCourseWare / MIT CSAIL,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-fall-2011/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Adept,120 h,Programming and discrete math,"data structures, sorting, graphs, dynamic programming.","Official MIT public syllabus, lectures and/or assignments",active/reachable; fetched September 2026
6.046J Design and Analysis of Algorithms,MIT OpenCourseWare / MIT CSAIL,https://ocw.mit.edu/courses/6-046j-design-and-analysis-of-algorithms-spring-2015/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Master,150 h,6.006 and discrete probability,"advanced algorithms, amortization, number theory, approximation.","Official MIT public syllabus, lectures and/or assignments",active/reachable; fetched September 2026
6.042J Mathematics for Computer Science,MIT OpenCourseWare / MIT CSAIL,https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-spring-2015/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Apprentice; Adept,120 h,Algebra,"proofs, sets, graphs, recurrences, counting, probability.","Official MIT public syllabus, lectures and/or assignments",active/reachable; fetched September 2026
6.004 Computation Structures,MIT OpenCourseWare / MIT CSAIL,https://ocw.mit.edu/courses/6-004-computation-structures-spring-2017/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Adept,150 h,Programming and digital logic,"circuits, assembly, processors, memory, concurrency.","Official MIT public syllabus, lectures and/or assignments",active/reachable; fetched September 2026
6.033 Computer System Engineering,MIT OpenCourseWare / MIT CSAIL,https://ocw.mit.edu/courses/6-033-computer-system-engineering-spring-2018/,Course/module,free,No fee for learning materials.,English,No,8. Computer science core,,Master,150 h,Algorithms and systems,"operating systems, networking, distributed systems, security.","Official MIT public syllabus, lectures and/or assignments",active/reachable; fetched September 2026
